"id","name","country","department","multiregional_or_nationalcd","province","district","location","other_places_involved","company_involved","type","activity","state","active_phases","time_of_dialogue","dialogue_mechanism","participation_dialogue","incident_of_violence","dialogue_after_violence","ombudsman_office","main_government","latitude","longitude","hash","createdAt","updatedAt","source"
4131,Morococha - Chinalco,Perú,Junín,"",Yauli,Morococha,"","",Minera Chinalco Perú S.A.,Socioambiental,Minería,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,No,"","Colaboración, observación activa y supervisión",Gobierno nacional,-11.5100851821376,-76.1289616821376,junin-yauli-morococha-mineria-socioambiental-morococha - chinalco,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4132,Contaminación – Refinería La Pampilla (Repsol),Perú,Callao,Multiregión,Prov.Const.del Callao,Ventanilla,Playa Bahía Blanca,"Distrito de Ancón y Santa Rosa, provincia y región Lima.
 Distrito de Chancay, provincia de Huaral, región Lima",REPSOL PERÚ,Socioambiental,Hidrocarburos,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-12.052320707895623,-77.12745590789562,callao-prov.const.del callao-ventanilla-hidrocarburos-socioambiental-contaminacion – refineria la pampilla (repsol),"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4133,Villa Corazón de Jesús - Glore Perú,Perú,Pasco,"",Daniel Alcides Carrión,Santa Ana de Tusi,C.C. Villa Corazón de Jesús,"",Glore Perú SAC,Socioambiental,Minería,Activo,,En progreso,Mesa de diálogo: negociación directa,Colaborador,Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno regional,-10.459485049768384,-76.31551504976838,pasco-daniel alcides carrion-santa ana de tusi-mineria-socioambiental-villa corazon de jesus - glore peru,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4134,Champamarca - Activos Mineros,Perú,Pasco,"",Pasco,Simón Bolívar,Comunidad urbana de Champamarca,"",Consorcio San Camilo - Activos Mineros S.A.C.,Socioambiental,Minería,Activo,,En progreso,Mesa de diálogo: negociación directa,Colaborador,No,No,"Colaboración, observación activa y supervisión",Gobierno regional,-10.720288126499808,-76.4633406264998,pasco-pasco-simon bolivar-mineria-socioambiental-champamarca - activos mineros,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4135,San Juan de Milpo - Minera Nexa Resources,Perú,Pasco,"",Pasco,San Francisco de Asís de Yarusyacán,"","",Nexa Resources Perú S.A.A.,Socioambiental,Minería,Activo,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-10.54893543747016,-76.22654043747016,pasco-pasco-san francisco de asis de yarusyacan-mineria-socioambiental-san juan de milpo - minera nexa resources,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4136,Contaminación en Simón Bolívar,Perú,Pasco,"",Pasco,Simón Bolívar,"","","",Socioambiental,Minería,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-10.718559392843757,-76.46161189284375,pasco-pasco-simon bolivar-mineria-socioambiental-contaminacion en simon bolivar,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4137,Quillo - COPEMINA,Perú,Áncash,"",Yungay,Quillo,C.C. Vírgen del Rosario de Quillo,"",Consorcio Peruano de Minas S.A.C - COPEMINA,Socioambiental,Minería,Latente,,"","","",Sí,"",Mediaciones / Facilitaciones,Gobierno regional,-9.331921287922354,-77.93326678792235,ancash-yungay-quillo-mineria-socioambiental-quillo - copemina,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4138,Pampas - Tungsteno Málaga,Perú,Áncash,"",Pallasca,Pampas,"","",Minera Tungsteno Málaga del Perú S.A.,Socioambiental,Minería,Retirado,,"","","",No,"",Solo monitoreo,Gobierno regional,-8.160103382895851,-77.78048238289585,ancash-pallasca-pampas-mineria-socioambiental-pampas - tungsteno malaga,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4139,Huarupampa - Consorcio Minero Conexas,Perú,Áncash,"",Santa,Cáceres del Perú ,Caserío de Huarupampa,"",Consorcio Minero y Operaciones Conexas S.A.C.,Socioambiental,Minería,Latente,,"","","",Sí,"","Colaboración, observación activa y supervisión",Gobierno regional,-8.94972705660512,-78.06817355660513,ancash-santa-caceres del peru-mineria-socioambiental-huarupampa - consorcio minero conexas,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4140,Ticapampa - Greenex,Perú,Áncash,"",Recuay,Ticapampa,Caserío de Buenos Aires,"",Empresa Minera Greenex S.A.C.,Socioambiental,Minería,Retirado,,"","","",No,"",Solo Monitoreo,Gobierno regional,-9.733827261305871,-77.38759026130587,ancash-recuay-ticapampa-mineria-socioambiental-ticapampa - greenex,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4141,AMUCEPS - Antamina,Perú,Áncash,"",Recuay,Recuay,"C.C. Catac, C.P. Carhuayoc","Región Áncash, provincia de Huari, distrito de San Marcos",Compañía Minera Antamina S.A.,Socioambiental,Minería,Latente,,"","","",Sí,Sí,Solo Monitoreo,Gobierno nacional,-9.713328393475305,-77.4303648934753,ancash-recuay-recuay-mineria-socioambiental-amuceps - antamina,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4142,Huachocolpa – Cía minera Kolpa,Perú,Huancavelica,"",Huancavelica,Huachocolpa,C.C. Huachocolpa,"",Compañía Minera KolpaS.A.,Socioambiental,Minería,Latente,,"","","",Sí,"","Colaboración, observación activa y supervisión",Gobierno nacional,-13.055719473795925,-74.93916847379592,huancavelica-huancavelica-huachocolpa-mineria-socioambiental-huachocolpa – cia minera kolpa,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4143,Ascensión - Nexa Resources,Perú,Huancavelica,"",Huancavelica,Ascensión,C.C. Santa Cruz de Callqui Grande,"",Nexa Resources Perú S.A.A.,Socioambiental,Minería,Latente,,"","","",No,No,"Colaboración, observación activa y supervisión",Gobierno nacional,-12.784580655978415,-74.97478525597842,huancavelica-huancavelica-ascension-mineria-socioambiental-ascension - nexa resources,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4144,Chala Alta - Empresa Minera de Marmol,Perú,Junín,"",Concepción,San José de Quero,Chala Alta,"",Empresa Minera de Mármol S.A.,Socioambiental,Minería,Retirado,,"","","",No,No,"Colaboración, observación activa y supervisión",Gobierno regional,-12.094555612670247,-75.57571411267024,junin-concepcion-san jose de quero-mineria-socioambiental-chala alta - empresa minera de marmol,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4145,Kuélap,Perú,Amazonas,"",Luya,Tingo,"","","",Asuntos de gobierno nacional,"",Activo,,Inicio,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,Solo monitoreo,Gobierno nacional,-6.387993540293075,-77.93739704029308,amazonas-luya-tingo--asuntos de gobierno nacional-kuelap,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4146,Agenda social de Condorcanqui,Perú,Amazonas,"",Condorcanqui,"","","","",Asuntos de gobierno nacional,"",Activo,,En progreso,Mesa de diálogo: negociación directa,Colaborador,Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-4.5992872585779025,-77.8642001585779,amazonas-condorcanqui---asuntos de gobierno nacional-agenda social de condorcanqui,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4147,Corral Quemado - La Calzada,Perú,Amazonas,"",Luya,Luya,"","Región Amazonas, provincia de Utcubamba, distrito de Cumba","",Asuntos de gobierno nacional,"",Activo,,En progreso,Mesa de diálogo: negociación directa,Colaborador,Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-6.173313899666426,-77.99394239966642,amazonas-luya-luya--asuntos de gobierno nacional-corral quemado - la calzada,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4148,Municipalidad de Huandoval,Perú,Áncash,"",Pallasca,Huandoval,"","","",Asuntos de gobierno local,"",Activo,,"","","",No,"","Colaboración, observación activa y supervisión",Gobierno local,-8.328580831318414,-77.9506043313184,ancash-pallasca-huandoval--asuntos de gobierno local-municipalidad de huandoval,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4149,Respaldo a Majes - Siguas II,Perú,Arequipa,"",Castilla,"","","","",Asuntos de gobierno nacional,"",Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,Solo Monitoreo,Gobierno nacional,-16.075782947702027,-72.49278234770203,arequipa-castilla---asuntos de gobierno nacional-respaldo a majes - siguas ii,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4150,Aeropuerto Chinchero,Perú,Cusco,Cusco,Urubamba,Chinchero,"","",Aeroportuaria Kuntur Wasi S.A.,Asuntos de gobierno nacional,"",Activo,,"","","",No,"",Solo monitoreo,Gobierno nacional,-13.409735993209537,-72.04286949320955,cusco-urubamba-chinchero--asuntos de gobierno nacional-aeropuerto chinchero,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4151,Tarrifas trenes en Machupicchu,Perú,Cusco,"",Urubamba,Machupicchu,"","","",Asuntos de gobierno nacional,"",Activo,,Inicio,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,No,"Colaboración, observación activa y supervisión",Gobierno nacional,-13.216875387618268,-72.49258038761826,cusco-urubamba-machupicchu--asuntos de gobierno nacional-tarrifas trenes en machupicchu,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4152,Cultivadores de hoja de coca,Perú,Cusco,"",La Convención,"","","",ENACO S.A.,Asuntos de gobierno nacional,"",Activo,,"","","",No,No,Solo monitoreo,Gobierno nacional,-12.864636099647306,-72.6923978996473,cusco-la convencion---asuntos de gobierno nacional-cultivadores de hoja de coca,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4153,Frente de Defensa de los Intereses de Macuya,Perú,Huánuco,"",Puerto Inca,Tournavista,C.P. Macuya,"",CEPSA PERUANA S.A.C.,Asuntos de gobierno local,"",Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,"",No,No,"Colaboración, observación activa y supervisión",Gobierno local,-9.023459038921343,-74.89558653892135,huanuco-puerto inca-tournavista--asuntos de gobierno local-frente de defensa de los intereses de macuya,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4154,Trabajadores sector agroexportador,Perú,Ica,"",Ica,Salas,Centro Poblado Villacurí,"","",Asuntos de gobierno nacional,"",Activo,,"","","",Sí,No,Intervención humanitaria / Acciones legales,Gobierno nacional,-13.919263647624003,-75.865624647624,ica-ica-salas--asuntos de gobierno nacional-trabajadores sector agroexportador,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4155,FREDESAAA - FEDEAGRAA / ELECTRO ORIENTE S.A.,Perú,Loreto,"",Alto Amazonas,Yurimaguas,"","",Electro Oriente S.A.,Asuntos de gobierno nacional,"",Activo,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-5.858563431941392,-76.0081689319414,loreto-alto amazonas-yurimaguas--asuntos de gobierno nacional-fredesaaa - fedeagraa / electro oriente s.a.,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4156,Usuarios de electricidad en Nauta,Perú,Loreto,"",Loreto,Nauta,"","",Electro Oriente S.A.,Asuntos de gobierno nacional,"",Activo,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-4.459354730984437,-74.15769073098444,loreto-loreto-nauta--asuntos de gobierno nacional-usuarios de electricidad en nauta,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4157,ACONAKKU - Urarinas,Perú,Loreto,"",Loreto,Urarinas,"","","",Asuntos de gobierno nacional,"",Activo,,"","","",Sí,No,Solo monitoreo,Gobierno local,-4.300356125076837,-75.49871812507683,loreto-loreto-urarinas--asuntos de gobierno nacional-aconakku - urarinas,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4158,Estación 5 - Datem del Marañón,Perú,Loreto,"",Datem del Marañón,"","","","",Asuntos de gobierno nacional,"",Activo,,En progreso,Mesa de diálogo: negociación directa,"",Sí,Sí,Solo monitoreo,Gobierno nacional,-4.828583906398447,-76.55434040639844,loreto-datem del maranon---asuntos de gobierno nacional-estacion 5 - datem del maranon,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4159,Pobladores del distrito de Alto Nanay,Perú,Loreto,"",Maynas,Alto Nanay,"","","",Asuntos de gobierno local,"",Activo,,"","","",Sí,No,"Colaboración, observación activa y supervisión",Gobierno local,-3.2884139243228176,-74.2929319243228,loreto-maynas-alto nanay--asuntos de gobierno local-pobladores del distrito de alto nanay,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4160,Minerìa informal ley de formalización,Perú,La Libertad,Multiregión,"","","La Lbertad, Lima, Ica, Apurimac, entre otros","","",Asuntos de gobierno nacional,Minería,Activo,,"","","",No,No,Solo monitoreo,Gobierno nacional,-8.144256420936918,-78.47585762093692,la libertad---mineria-asuntos de gobierno nacional-mineria informal ley de formalizacion,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4161,Agricultores y ganaderos lecheros,Perú,Junín,Multiregión,Huancayo,Huancayo,"",Región de Huánuco. Región de Ica.,"",Asuntos de gobierno nacional,"",Activo,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-11.994155025917998,-75.09178752591798,junin-huancayo-huancayo--asuntos de gobierno nacional-agricultores y ganaderos lecheros,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4162,Crisis política - Diciembre 2022,Perú,Puno,Nacional,"","","","","",Asuntos de gobierno nacional,"",Activo,,"","","",Sí,No,"Colaboración, observación activa y supervisión",Poder legislativo,-15.84086510176505,-70.02252380176505,puno----asuntos de gobierno nacional-crisis politica - diciembre 2022,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4163,Cuenca Suches - Minería informal e ilegal (II),Perú,Puno,"",Huancané,Cojata,"","","",Socioambiental,Minería,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,No,No,"Colaboración, observación activa y supervisión",Gobierno regional,-15.016312480041263,-69.35146098004127,puno-huancane-cojata-mineria-socioambiental-cuenca suches - mineria informal e ilegal (ii),"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4164,Parcialidad Apacheta - Residuos sólidos,Perú,Puno,"",El Collao,Ilave,Parcialidad Apacheta,"","",Socioambiental,Residuos y saneamiento,Activo,,"","","",Sí,No,"Colaboración, observación activa y supervisión",Gobierno nacional,-16.23495937187936,-69.66686337187936,puno-el collao-ilave-residuos y saneamiento-socioambiental-parcialidad apacheta - residuos solidos,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4165,Cabanillas/Juliaca - Celdas Transitorias,Perú,Puno,"",San Román,Cabanillas,"","Región de Cusco, provincia de San Román, distrito de Juliaca","",Socioambiental,Residuos y saneamiento,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,No,"","Colaboración, observación activa y supervisión",Gobierno local,-15.826020565450268,-70.61010856545028,puno-san roman-cabanillas-residuos y saneamiento-socioambiental-cabanillas/juliaca - celdas transitorias,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4166,Cuenca Coata,Perú,Puno,"",Puno,Coata,"","","",Socioambiental,Minería,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-15.617369447752354,-69.92222244775235,puno-puno-coata-mineria-socioambiental-cuenca coata,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4167,Ocuviri - Aruntani (Arasi),Perú,Puno,"",Lampa,Ocuviri,CC.CC. Hatun Ayllu y Caycho,"",Empresa Arasi S.A.C. - Grupo Aruntani,Socioambiental,Minería,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,"",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-15.181572381066777,-70.84954638106677,puno-lampa-ocuviri-mineria-socioambiental-ocuviri - aruntani (arasi),"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4168,Cuenca Llallimayo - Aruntani,Perú,Puno,"",Melgar,Llalli,"","",Aruntani S.A.C.,Socioambiental,Minería,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-14.99713006720421,-70.92053106720421,puno-melgar-llalli-mineria-socioambiental-cuenca llallimayo - aruntani,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4169,Ramis - Minería informal,Perú,Puno,"",San Antonio de Putina,Ananea,"","Región Puno, provincia de Carabaya, distrito de Macusani
  Región Puno, provincia de Carabaya, distrito de Crucero
  Región Puno, provincia de Azángaro, distrito de Azángaro","",Socioambiental,Minería,Activo,,Inicio,Mesa de diálogo: negociación mediada o asistida,"",No,"","Colaboración, observación activa y supervisión",Gobierno nacional,-14.682052523942737,-69.49359052394274,puno-san antonio de putina-ananea-mineria-socioambiental-ramis - mineria informal,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4170,Suministro de agua de Paucarcolla,Perú,Puno,"",Puno,Paucarcolla,"","",Empresa Municipal de Saneamiento Básico de Puno - EMSA PUNO S.A.,Asuntos de gobierno local,"",Activo,,Inicio,Mesa de diálogo: negociación mediada o asistida,Mediador / Facilitador,No,"",Mediaciones / Facilitaciones,Gobierno local,-15.725819859822755,-70.05543135982276,puno-puno-paucarcolla--asuntos de gobierno local-suministro de agua de paucarcolla,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4171,Paro por Puente Tarata,Perú,San Martín,"",Mariscal Cáceres,Juanjui,"","","",Asuntos de gobierno nacional,"",Activo,,En progreso,Mesa de diálogo: negociación directa,Colaborador,Sí,Sí,Solo monitoreo,Gobierno nacional,-7.223224028575145,-76.78777852857513,san martin-mariscal caceres-juanjui--asuntos de gobierno nacional-paro por puente tarata,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4172,FRECIDES - demandas nacionales,Perú,San Martín,"",San Martín,Tarapoto,"","","",Asuntos de gobierno nacional,"",Activo,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-6.49286437505137,-76.37041387505137,san martin-san martin-tarapoto--asuntos de gobierno nacional-frecides - demandas nacionales,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4173,Agua y alcantarillado - Tocache,Perú,San Martín,"",Tocache,Tocache,"","","",Asuntos de gobierno local,"",Activo,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-8.265421245143173,-76.53611674514318,san martin-tocache-tocache--asuntos de gobierno local-agua y alcantarillado - tocache,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4174,Candarave - Southern,Perú,Tacna,"",Candarave,Candarave,"","",Southern Perú Cooper Corporation,Socioambiental,Minería,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,No,No,"Colaboración, observación activa y supervisión",Gobierno nacional,-17.056768817908278,-70.26879431790827,tacna-candarave-candarave-mineria-socioambiental-candarave - southern,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4175,Comerciantes del Mercado Progreso,Perú,Áncash,"",Santa,Chimbote,"","","",Asuntos de gobierno local,"",Latente,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno local,-9.069212054874518,-78.5848529632529,ancash-santa-chimbote--asuntos de gobierno local-comerciantes del mercado progreso,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4176,Supayaku - Municipalidad Distrital de Huarango,Perú,Cajamarca,"",San Ignacio,Huarango,Comunidad Nativa Supayaku,"","",Asuntos de gobierno local,"",Latente,,"","","",Sí,Sí,Mediaciones / Facilitaciones,Gobierno local,-5.0158123248165465,-78.69735682481655,cajamarca-san ignacio-huarango--asuntos de gobierno local-supayaku - municipalidad distrital de huarango,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4177,Mercado Modelo de Chiclayo,Perú,Lambayeque,"",Chiclayo,José Leonardo Ortiz,"","","",Asuntos de gobierno local,"",Latente,,"","","",No,"",Mediaciones / Facilitaciones,Gobierno local,-6.739602599424356,-79.83417659942437,lambayeque-chiclayo-jose leonardo ortiz--asuntos de gobierno local-mercado modelo de chiclayo,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4178,Vilavilani II - Fase I,Perú,Puno,Multiregión,El Collao,"","","Región Puno, provincia de Chucuito,
  Región Tacna, provincia de Tacna, distrito de Palca, comunidad de Kallapuma.
  Región Tacna, provincia de Tarata.","",Socioambiental,Otros,Latente,,"","","",No,"","Colaboración, observación activa y supervisión",Gobierno regional,-16.080034229694927,-69.63776002969492,puno-el collao--otros-socioambiental-vilavilani ii - fase i,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4179,Mercado Modelo de Piura,Perú,Piura,"",Piura,Piura ,"","","",Asuntos de gobierno local,"",Latente,,"","","",Sí,"",Solo Monitoreo,Gobierno local,-5.079164658432644,-80.68056365843265,piura-piura-piura--asuntos de gobierno local-mercado modelo de piura,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4180,Drenaje pluvial Juliaca,Perú,Puno,"",San Román,Juliaca,"","","",Asuntos de gobierno local,"",Latente,,"","","",Sí,Sí,Mediaciones / Facilitaciones,Org. Const. Autónomo,-15.44423653310229,-70.18225003310228,puno-san roman-juliaca--asuntos de gobierno local-drenaje pluvial juliaca,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4181,Vilcas Huamán – Rechazo a minería,Perú,Ayacucho,"",Vilcas Huamán,"","","","",Socioambiental,Minería,Activo,,"","","",No,"","Colaboración, observación activa y supervisión",Gobierno nacional,-13.65533546295434,-73.95337356295434,ayacucho-vilcas huaman--mineria-socioambiental-vilcas huaman – rechazo a mineria,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4182,Mariscal Nieto - Huatipuka,Perú,Moquegua,"",Mariscal Nieto,"","","",Tower and Tower S.A.,Socioambiental,Residuos y saneamiento,Activo,,"","","",No,"","Colaboración, observación activa y supervisión",Gobierno nacional,-17.18753802717214,-70.93103142717213,moquegua-mariscal nieto--residuos y saneamiento-socioambiental-mariscal nieto - huatipuka,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
